URL,Sprache,Region,Seitentyp,Service,Suchintention,Status,Indexierung,Canonical,Hreflang,Klicks,Impressionen,CTR,Position,Leads,Entscheidung
https://www.floxant.de,de,überregional,Service-/Informationsseite,übergreifend,navigational/informational,200,index,https://www.floxant.de,de-DE:https://www.floxant.de | en:https://www.floxant.de/en | x-default:https://www.floxant.de,8,818,0.98%,7.53,nicht verfügbar,unverändert behalten
https://www.floxant.de/umzug,de,überregional,Service-/Informationsseite,Umzug/Transport,commercial/transactional,200,index,https://www.floxant.de/umzug,de-DE:https://www.floxant.de/umzug | x-default:https://www.floxant.de/umzug,0,3,0%,49,nicht verfügbar,unverändert behalten
https://www.floxant.de/bueroumzug,de,überregional,Service-/Informationsseite,Umzug/Transport,commercial/transactional,200,index,https://www.floxant.de/bueroumzug,de-DE:https://www.floxant.de/bueroumzug | x-default:https://www.floxant.de/bueroumzug,0,0,0%,nicht verfügbar,nicht verfügbar,unverändert behalten
https://www.floxant.de/firmenentsorgung,de,überregional,Service-/Informationsseite,übergreifend,navigational/informational,200,index,https://www.floxant.de/firmenentsorgung,de-DE:https://www.floxant.de/firmenentsorgung | x-default:https://www.floxant.de/firmenentsorgung,0,0,0%,nicht verfügbar,nicht verfügbar,unverändert behalten
https://www.floxant.de/diskret-service,de,überregional,Service-/Informationsseite,übergreifend,navigational/informational,200,index,https://www.floxant.de/diskret-service,de-DE:https://www.floxant.de/diskret-service | x-default:https://www.floxant.de/diskret-service,0,61,0%,7.51,nicht verfügbar,unverändert behalten
https://www.floxant.de/private-client-service,de,überregional,Service-/Informationsseite,übergreifend,navigational/informational,200,index,https://www.floxant.de/private-client-service,de-DE:https://www.floxant.de/private-client-service | x-default:https://www.floxant.de/private-client-service,0,3,0%,7.33,nicht verfügbar,unverändert behalten
https://www.floxant.de/reinigung,de,überregional,Service-/Informationsseite,Reinigung,commercial/transactional,200,index,https://www.floxant.de/reinigung,nicht vorhanden,0,30,0%,31.03,nicht verfügbar,unverändert behalten
https://www.floxant.de/notfallreinigung-24h,de,überregional,Service-/Informationsseite,Reinigung,commercial/transactional,200,index,https://www.floxant.de/notfallreinigung-24h,de-DE:https://www.floxant.de/notfallreinigung-24h | x-default:https://www.floxant.de/notfallreinigung-24h,0,0,0%,nicht verfügbar,nicht verfügbar,unverändert behalten
https://www.floxant.de/entruempelung,de,überregional,Service-/Informationsseite,Räumung/Auflösung,commercial/transactional,200,index,https://www.floxant.de/entruempelung,de-DE:https://www.floxant.de/entruempelung | x-default:https://www.floxant.de/entruempelung,0,19,0%,35.47,nicht verfügbar,unverändert behalten
https://www.floxant.de/kleintransporte,de,überregional,Service-/Informationsseite,Umzug/Transport,commercial/transactional,200,index,https://www.floxant.de/kleintransporte,de-DE:https://www.floxant.de/kleintransporte | x-default:https://www.floxant.de/kleintransporte,0,0,0%,nicht verfügbar,nicht verfügbar,unverändert behalten
https://www.floxant.de/pv-anlagen-reinigung,de,überregional,Service-/Informationsseite,Reinigung,commercial/transactional,200,index,https://www.floxant.de/pv-anlagen-reinigung,nicht vorhanden,0,6,0%,35.5,nicht verfügbar,stärken
https://www.floxant.de/regensburg/reinigung,de,Regensburg,Service-/Informationsseite,Reinigung,commercial/transactional,200,index,https://www.floxant.de/regensburg/reinigung,de-DE:https://www.floxant.de/regensburg/reinigung | en:https://www.floxant.de/en/regensburg/cleaning | x-default:https://www.floxant.de/regensburg/reinigung,2,556,0.36%,38.37,nicht verfügbar,stärken
https://www.floxant.de/kellerentruempelung,de,überregional,Service-/Informationsseite,Räumung/Auflösung,commercial/transactional,200,index,https://www.floxant.de/kellerentruempelung,nicht vorhanden,0,0,0%,nicht verfügbar,nicht verfügbar,unverändert behalten
https://www.floxant.de/nachlassaufloesung,de,überregional,Service-/Informationsseite,Räumung/Auflösung,commercial/transactional,200,index,https://www.floxant.de/nachlassaufloesung,nicht vorhanden,0,0,0%,nicht verfügbar,nicht verfügbar,unverändert behalten
https://www.floxant.de/lageraufloesung,de,überregional,Service-/Informationsseite,Räumung/Auflösung,commercial/transactional,200,index,https://www.floxant.de/lageraufloesung,nicht vorhanden,0,2,0%,47.5,nicht verfügbar,unverändert behalten
https://www.floxant.de/mini-umzug,de,überregional,Service-/Informationsseite,Umzug/Transport,commercial/transactional,200,index,https://www.floxant.de/mini-umzug,nicht vorhanden,0,0,0%,nicht verfügbar,nicht verfügbar,unverändert behalten
https://www.floxant.de/express-umzug,de,überregional,Service-/Informationsseite,Umzug/Transport,commercial/transactional,200,index,https://www.floxant.de/express-umzug,nicht vorhanden,0,0,0%,nicht verfügbar,nicht verfügbar,unverändert behalten
https://www.floxant.de/moebeltransport,de,überregional,Service-/Informationsseite,Umzug/Transport,commercial/transactional,200,index,https://www.floxant.de/moebeltransport,nicht vorhanden,0,0,0%,nicht verfügbar,nicht verfügbar,unverändert behalten
https://www.floxant.de/uebergabe-sprint,de,überregional,Service-/Informationsseite,übergreifend,navigational/informational,200,index,https://www.floxant.de/uebergabe-sprint,nicht vorhanden,0,0,0%,nicht verfügbar,nicht verfügbar,unverändert behalten
https://www.floxant.de/vermieter-ready-service,de,überregional,Service-/Informationsseite,übergreifend,navigational/informational,200,index,https://www.floxant.de/vermieter-ready-service,nicht vorhanden,0,0,0%,nicht verfügbar,nicht verfügbar,unverändert behalten
https://www.floxant.de/region-regensburg,de,Regensburg,Service-/Informationsseite,übergreifend,navigational/informational,200,index,https://www.floxant.de/region-regensburg,de-DE:https://www.floxant.de/region-regensburg | x-default:https://www.floxant.de/region-regensburg,0,0,0%,nicht verfügbar,nicht verfügbar,unverändert behalten
https://www.floxant.de/angebot-vergleichen-regensburg,de,Regensburg,Service-/Informationsseite,Angebotsprüfung,commercial/transactional,200,index,https://www.floxant.de/angebot-vergleichen-regensburg,de-DE:https://www.floxant.de/angebot-vergleichen-regensburg | x-default:https://www.floxant.de/angebot-vergleichen-regensburg,0,2,0%,48.5,nicht verfügbar,unverändert behalten
https://www.floxant.de/regensburg/umzug-kosten,de,Regensburg,Service-/Informationsseite,Umzug/Transport,commercial/transactional,200,index,https://www.floxant.de/regensburg/umzug-kosten,de-DE:https://www.floxant.de/regensburg/umzug-kosten | en:https://www.floxant.de/en/regensburg/moving-costs | x-default:https://www.floxant.de/regensburg/umzug-kosten,0,0,0%,nicht verfügbar,nicht verfügbar,unverändert behalten
https://www.floxant.de/regensburg/seniorenumzug,de,Regensburg,Service-/Informationsseite,Umzug/Transport,commercial/transactional,200,index,https://www.floxant.de/regensburg/seniorenumzug,de-DE:https://www.floxant.de/regensburg/seniorenumzug | en:https://www.floxant.de/en/regensburg/senior-moving | x-default:https://www.floxant.de/regensburg/seniorenumzug,0,1,0%,6,nicht verfügbar,unverändert behalten
